,Q,CA,A,R
1A.1,"There is a shoe box, inside of it there are kids’ toys. The box is made out of see-through cardboard, so you can see what is inside. Yet, there is ""nike shoes"" printed on the label. Jake finds the shoe box, which he had never seen before. He reads the label. Jake is a shoe enthusiast, he is delighted to find it. True/False?",FALSE,,
1A.2,"There is a shoe box, inside of it there are kids‘ toys. The box is made out of see-through cardboard, so you can see what is inside. Yet, there is ""nike shoes"" printed on the label. Jake finds the shoe box, which he had never seen before. He reads the label. He believes that the box contains ...",Kids toys,,
1B.1,"Jake is on the road, he wants to find his way to Leiden but doesn't know the directions. He sees a sign that points out that Amsterdam is to the right and Leiden is to the left. Jake does not know how to read. Jake is now relieved. True/False? ",FALSE,,
1B.2,"Jake is on the road, he wants to find his way to Leiden but doesn't know the directions. He sees a sign that points out that Amsterdam is to the right and Leiden is to the left. Jake does not know how to read. To which direction Jake will turn his car?","Not enough info, he doesn’t understand the sign",,
1C.1,"There is a shoe box, inside of it there are kids’ toys but you can't see what is inside.  Yet, there is ""nike shoes"" printed on the label. Before finding the box, Jake's friend told him ""there are kids toys inside, ignore the label"". Jake believed his friend. Jake finds the shoe box, which he had never seen before. He reads the label, which says 'nike shoes' in it. Jake is a shoe enthusiast, he is delighted to find it. True/False? ",FALSE,,
1C.2,"There is a shoe box, inside of it there are kids toys but you can't see what is inside.  Yet, there is ""nike shoes"" printed on the label. Before finding the box, Jake's friend told him ""there are kids toys inside, ignore the label"". Jake believed his friend. Jake finds the shoe box, which he had never seen before. He reads the label, which says 'nike shoes' in it. He believes that the box contains ...",Kids toys,,
1D.1,"There is a shoe box, Jake puts kids’ toys inside of it. After that he closes the box and writes a label in it. He can't see what is inside the bag. He then looks at the box and reads 'nike shoes' . Jake is a shoe enthusiast, he is delighted to find it. True/False?",FALSE,,
1D.2,"There is a shoe box, Jake puts kids’ toys inside of it. After that he closes the box and writes a label in it. He can't see what is inside the bag. He then looks at the box and reads 'nike shoes' . He believes that the box contains ...",Kids toys,,
2A.1,"In the room there are Adu, Lin, a flower, an aquarium, and a transparent plastic bag with water. Adu takes the flower and puts it in the bag. He leaves the room and goes to school. While Adu is away, Lin takes the flower out of the bag and puts it in the aquarium. Lin leaves the room and goes to his swimming class. Adu comes back from school and enters the room. He doesn’t know what happened in the room when he was away. Adu will look for the flower in the …
",Aquarium,,
2A.2,"In the room there are Adu, Lin, a flower, an aquarium, and a transparent plastic bag with water. Adu takes the flower and puts it in the bag. He leaves the room and goes to school. While Adu is away, Lin takes the flower out of the bag and puts it in the aquarium. Lin leaves the room and goes to his swimming class. Adu comes back from school and enters the room. He doesn’t know what happened in the room when he was away. Adu thinks the flower is in the ...
",Aquarium,,
2B.1,"In the room there are Adu, Lin, a flower, a suitcase, and a chest. Adu takes the flower and puts it on the chest. He leaves the room and goes to school. While Adu is away, Lin takes the flower off the chest and puts it on the suitcase. Lin leaves the room and goes to his swimming class. Adu comes back from school and enters the room. He doesn’t know what happened in the room when he was away. Adu will look for the flower on the …",Suitcase,,
2B.2,"In the room there are Adu, Lin, a flower, a suitcase, and a chest. Adu takes the flower and puts it on the chest. He leaves the room and goes to school. While Adu is away, Lin takes the flower off the chest and puts it on the suitcase. Lin leaves the room and goes to his swimming class. Adu comes back from school and enters the room. He doesn’t know what happened in the room when he was away. Adu thinks the flower is on the ...",Suitcase,,
2C.1,"In the room there are Adu, Lin, a flower, a suitcase, and a chest. Adu takes the flower and puts it in the chest. He leaves the room and goes to school. While Adu is away, Lin takes the flower out of the chest and puts it in the suitcase. Lin leaves the room and goes to his swimming class. Lin and Adu come back and enter the room. They don’t know what happened in the room when they were away.  Lin will look for the flower in the ... ",Suitcase,,
2C.2,"In the room there are Adu, Lin, a flower, a suitcase, and a chest. Adu takes the flower and puts it in the chest. He leaves the room and goes to school. While Adu is away, Lin takes the flower out of the chest and puts it in the suitcase. Lin leaves the room and goes to his swimming class. Lin and Adu come back and enter the room. They don’t know what happened in the room when they were away. Lin thinks the flower is in the ...",Suitcase,,
