Type,S,Q_1,CA_1,A_1,Q_2,CA_2,A_2,Q_3,A_3,Level,Q_type,Deviation,C
SA_1fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Sally and Anne are playing. Sally has a box and Anne has a basket, and there is a ball. Sally puts the ball in her box. Then Sally goes to play somewhere else.
Anne takes the ball from Sally's box and she puts the ball in her own basket. Anne also goes to play somewhere else for a while.
Then Sally returns.
Where is the ball now?",basket,The ball is in Anne's basket.,Where does Sally look for the ball?,box,Sally looks in her box (where she originally put it).,Why?,"Sally doesn't know Anne moved the ball. She wasn't there when Anne took it from the box and put it in the basket, so Sally still believes the ball is where she left it.",,,0,2
SA_1fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Peter and Kumar are playing. Peter has a suitcase and Kumar has a backpack, and they have a pencil. Peter puts the pencil in his suitcase. Then Peter goes to play somewhere else.
Kumar takes the pencil from Peter's suitcase and he puts the pencil in his own backpack. Kumar also goes to play somewhere else for a while.
Then Peter returns.
Where is the pencil now?",backpack,The pencil is in Kumar's backpack.,Where does Peter look for the pencil?,suitcase,Peter looks for the pencil in his suitcase (where he originally put it).,Why?,"Because Peter doesn't know Kumar moved the pencil. Peter was away playing when Kumar took it from the suitcase and put it in his backpack, so Peter still believes the pencil is where he left it.",,,1,2
SA_1fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Peter and Kumar are playing. They found a beautiful golden marble. They dig a hole in the ground to hide the marble. Then Peter has to go home, so he leaves. 
Kumar stays a bit longer. When he sees a dog approaching, he realizes the marble is not safe. He digs up the marble and puts it in a hole in the tree. Then Kumar goes home. 
The next day Peter returns to the playground. He wants to play with the marble again.
Where is the marble now?",tree,The marble is in a hole in the tree.,Where does Peter look for the marble?,ground,Peter looks for the marble in the hole in the ground (where he and Kumar originally hid it together).,Why?,"Because Peter left before Kumar moved the marble to the tree, so he doesn't know it was moved. He only knows about the original hiding spot in the ground.",,,2,2
SA_2fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Sally and Anne are in the park. There is an ice cream truck next to the fountain. They both want to buy an ice cream but Sally doesn't have enough money. Sally goes home to get more money.
The ice cream man tells Anne that he is moving, he is now going to sell ice cream at the swing.
He meets Sally on the way and tells her where he is going. Sally gets money and so goes to the swing to buy an ice cream.
Anne goes to Sally's house and asks Sally's mother where Sally is. The mother says that Sally is buying ice cream.
Where is the ice cream truck now?",swing,The ice cream truck is at the swing.,Where does Anne think Sally is going to look for the ice cream truck?,fountain,"Anne thinks Sally is going to look for the ice cream truck at the fountain.

Anne doesn't know that Sally met the ice cream man on his way and learned about the new location. Anne only knows that the truck moved to the swing, but she has no reason to think Sally knows this.",Why?,"Because Anne doesn't know that Sally met the ice cream man and was told about the new location. The last place Anne saw the ice cream truck with Sally was at the fountain, and she has no information suggesting Sally knows the truck moved to the swing.",,,0,2
SA_2fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Tom and Gerald are in the park. There is a candy cart next to the pond. They both want to buy some candy but Tom doesn't have enough money. Tom goes home to get more money.
The candy man tells Gerald that he is moving, he is now going to sell candy at the deer.
He meets Tom on the way and tells him where he is going. Tom gets money and walks to the deer to buy some candy.
Gerald walks to Tom's house and asks Tom's mother where Tom is. The mother says that Tom is buying candy.
Where is the candy cart now?",deer,The candy cart is now at the deer.,Where does Gerald think Tom is going to look for the candy cart?,pond,"Gerald thinks Tom is going to look for the candy cart at the pond (its original location), since Gerald doesn't know that Tom was told about the cart moving to the deer.",Why?,"Because Gerald wasn't present when the candy man met Tom and told him about moving to the deer. Gerald only knows that the candy man was moving to the deer (he was told directly), but he has no way of knowing that Tom also received this information. So Gerald assumes Tom will go to the original location by the pond.",,,1,2
SA_2fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Tom and Gerald went swimming. But when they wanted to go home, Tom found out that his bike has a flat tire. When they start walking they see the swimming teacher passing in his car. They put up their hand and the swimming teacher stops the car at the bus stop alongside the road. They ask whether they can hitchhike, the swimming teacher says yes. 
Tom says he forgot his bag in the dressing room, so he quickly runs to grab it. The swimming teacher says to Gerald that he'll park his car in the parking lot around the corner, so they can put the bikes in the trunk.
On the way to the parking lot the swimming teacher sees Tom and tells him where he is going. So when Tom has his bag, he walks to the parking lot. 
Gerald walks to the dressing room and asks where Tom is. The children in the dressing room say that Tom went to the car of the swimming teacher. 
Where is the swimming teacher's car now? ",parking lot,The swimming teacher's car is in the parking lot around the corner.,Where does Gerald think Tom is going to look for the swimming teacher's car? ,bus stop,"Gerald thinks Tom is going to look for the swimming teacher's car at the bus stop (where it originally stopped), since Gerald wasn't present when the swimming teacher told Tom about moving to the parking lot.",Why?,"Because Gerald was already walking to the parking lot with the swimming teacher when the teacher told Tom about the new location. Gerald doesn't know that Tom received this information, so he assumes Tom will look for the car where it originally stopped (the bus stop).",,,2,2
SS_1lie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"One day, when Jan walks into the house, he accidentally knocks over his mother's favourite vase. The vase is broken. Oh no! If mom finds out about this, she will be very angry!
When Jan's mother comes home and sees the broken vase, she asks Jan what happened.
Jan says: ""The dog knocked it over, it is not my fault!""
Is what Jan says true?",False ,"No, what Jan says is not true. Jan knocked over the vase himself, not the dog.",Why does Jan say this?,,Jan lies to avoid getting in trouble and his mother's anger.,,,,,0,2
SS_1lie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"One day, when Olga walks into the house, she accidentally knocks over her father's favourite sculpture. The sculpture is broken. Oh no! If daddy finds out about this, he will be very angry!
When Olga's father comes home and sees the broken sculpture, he asks Olga what happened.
Olga says: ""The cat knocked it over, it is not my fault!""
Is what Olga says true?",False ,"No, what Olga says is not true. She knocked over the sculpture herself, not the cat.",Why does Olga say this?,,Olga says this because she is afraid her father will be very angry with her if he finds out she broke his favourite sculpture. She is lying to avoid getting in trouble.,,,,,1,2
SS_1lie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"One day, Olga is playing with the doll of her little sister Sally. Accidentally she pulls the head from the doll. She tries to attach it to the body, but without success. It looks like the doll is broken! When Sally sees this, she will be mad. It was her favourite doll. 
Sally comes home and searches for her doll. When she finds it she asks Olga if she knows why her doll is broken. Olga says: “Mummy broke it while she was cleaning up!”
Is what Olga says true?",False ,"No, what Olga says is not true. Olga herself accidentally broke the doll while playing with it, not her mother.",Why does Olga say this?,,Olga lies to avoid getting in trouble and to escape Sally's anger. She doesn't want Sally to be mad at her for breaking her favorite doll.,,,,,2,2
SS_2pretend,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Sally and Anne are playing in the house. Sally takes a banana from the fruit bowl and holds it to her ear. She says to Anne: 'Look, the banana is a telephone!'
Is what Sally says true?",False ,"No, what Sally says is not literally true. The banana is not actually a telephone - Sally is using her imagination to pretend it's a telephone during play.",Why does Sally say this? ,,Sally says this because she's engaging in pretend play. She's using her imagination to transform an everyday object (the banana) into something else (a telephone) for fun and creative play with Anne.,,,,,0,2
