Type,S,Q_1,CA_1,A_1,Q_2,CA_2,A_2,Q_3,A_3,Level,Q_type,Deviation
SA_1fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Sally and Anne are playing. Sally has a box and Anne has a basket, and there is a ball. Sally puts the ball in her box. Then Sally goes to play somewhere else.
Anne takes the ball from Sally's box and she puts the ball in her own basket. Anne also goes to play somewhere else for a while.
Then Sally returns.
Where is the ball now?",basket,In Anne’s basket.,Where does Sally look for the ball?,box,In her box.,Why?,"Because she left it there and didn’t see Anne move it, so she still believes it’s in her box.",,,0
SA_1fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Peter and Kumar are playing. Peter has a suitcase and Kumar has a backpack, and they have a pencil. Peter puts the pencil in his suitcase. Then Peter goes to play somewhere else.
Kumar takes the pencil from Peter's suitcase and he puts the pencil in his own backpack. Kumar also goes to play somewhere else for a while.
Then Peter returns.
Where is the pencil now?",backpack,In Kumar’s backpack.,Where does Peter look for the pencil?,suitcase,In his suitcase.,Why?,"Because he left it there and didn’t see Kumar move it, so he believes it’s still in his suitcase.",,,1
SA_1fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Peter and Kumar are playing. They found a beautiful golden marble. They dig a hole in the ground to hide the marble. Then Peter has to go home, so he leaves. 
Kumar stays a bit longer. When he sees a dog approaching, he realizes the marble is not safe. He digs up the marble and puts it in a hole in the tree. Then Kumar goes home. 
The next day Peter returns to the playground. He wants to play with the marble again.
Where is the marble now?",tree,In the hole in the tree.,Where does Peter look for the marble?,ground,In the hole in the ground.,Why?,"Because he left before Kumar moved it, so he still believes it’s in the ground where they hid it.",,,2
SA_2fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Sally and Anne are in the park. There is an ice cream truck next to the fountain. They both want to buy an ice cream but Sally doesn't have enough money. Sally goes home to get more money.
The ice cream man tells Anne that he is moving, he is now going to sell ice cream at the swing.
He meets Sally on the way and tells her where he is going. Sally gets money and so goes to the swing to buy an ice cream.
Anne goes to Sally's house and asks Sally's mother where Sally is. The mother says that Sally is buying ice cream.
Where is the ice cream truck now?",swing,At the swing.,Where does Anne think Sally is going to look for the ice cream truck?,fountain,At the fountain.,Why?,"Because Anne thinks Sally never heard about the move, so Sally would still believe the truck is by the fountain.",,,0
SA_2fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Tom and Gerald are in the park. There is a candy cart next to the pond. They both want to buy some candy but Tom doesn't have enough money. Tom goes home to get more money.
The candy man tells Gerald that he is moving, he is now going to sell candy at the deer.
He meets Tom on the way and tells him where he is going. Tom gets money and walks to the deer to buy some candy.
Gerald walks to Tom's house and asks Tom's mother where Tom is. The mother says that Tom is buying candy.
Where is the candy cart now?",deer,At the deer.,Where does Gerald think Tom is going to look for the candy cart?,pond,At the pond.,Why?,Because Tom left before the candy man announced the move. Gerald thinks Tom doesn’t know about the new spot and will go to the pond.,,,1
SA_2fb,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Tom and Gerald went swimming. But when they wanted to go home, Tom found out that his bike has a flat tire. When they start walking they see the swimming teacher passing in his car. They put up their hand and the swimming teacher stops the car at the bus stop alongside the road. They ask whether they can hitchhike, the swimming teacher says yes. 
Tom says he forgot his bag in the dressing room, so he quickly runs to grab it. The swimming teacher says to Gerald that he'll park his car in the parking lot around the corner, so they can put the bikes in the trunk.
On the way to the parking lot the swimming teacher sees Tom and tells him where he is going. So when Tom has his bag, he walks to the parking lot. 
Gerald walks to the dressing room and asks where Tom is. The children in the dressing room say that Tom went to the car of the swimming teacher. 
Where is the swimming teacher's car now? ",parking lot,In the parking lot around the corner.,Where does Gerald think Tom is going to look for the swimming teacher's car? ,bus stop,At the bus stop by the road.,Why?,"Because Tom left before hearing the plan to move the car, and Gerald doesn’t know he was later told; so he expects Tom to look where he last saw it—the bus stop.",,,2
SS_1lie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"One day, when Jan walks into the house, he accidentally knocks over his mother's favourite vase. The vase is broken. Oh no! If mom finds out about this, she will be very angry!
When Jan's mother comes home and sees the broken vase, she asks Jan what happened.
Jan says: ""The dog knocked it over, it is not my fault!""
Is what Jan says true?",False ,No. Jan knocked it over himself; the dog didn’t.,Why does Jan say this?,,"To avoid blame and punishment. He’s afraid of his mom’s anger, so he lies and blames the dog.",,,,,0
SS_1lie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"One day, when Olga walks into the house, she accidentally knocks over her father's favourite sculpture. The sculpture is broken. Oh no! If daddy finds out about this, he will be very angry!
When Olga's father comes home and sees the broken sculpture, he asks Olga what happened.
Olga says: ""The cat knocked it over, it is not my fault!""
Is what Olga says true?",False ,No. The story says Olga accidentally knocked it over; not the cat.,Why does Olga say this?,,To avoid blame and punishment—she lies out of fear of her father’s anger.,,,,,1
SS_1lie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"One day, Olga is playing with the doll of her little sister Sally. Accidentally she pulls the head from the doll. She tries to attach it to the body, but without success. It looks like the doll is broken! When Sally sees this, she will be mad. It was her favourite doll. 
Sally comes home and searches for her doll. When she finds it she asks Olga if she knows why her doll is broken. Olga says: “Mummy broke it while she was cleaning up!”
Is what Olga says true?",False ,No. Olga broke it herself by pulling the head off and is blaming her mum.,Why does Olga say this?,,To avoid blame and Sally’s anger—she’s shifting the blame to Mummy.,,,,,2
SS_2pretend,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Sally and Anne are playing in the house. Sally takes a banana from the fruit bowl and holds it to her ear. She says to Anne: 'Look, the banana is a telephone!'
Is what Sally says true?",False ,"Literally, no; only in pretend play.",Why does Sally say this? ,,Because she’s pretending—using the banana as a prop phone to start a make-believe game and invite Anne to join.,,,,,0
SS_2pretend,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Peter and Kumar are playing in the house. Peter takes a banana from the fruit bowl and holds it in front of his face. He says to Kumar: 'Look, the banana is my nose!'
Is what Peter says true?",False ,No—literally it’s false (the banana isn’t his nose). It’s only “true” in the make‑believe game: the banana is acting as his nose.,Why does Peter say this? ,,"Because he’s pretending—declaring, for their game, that the banana counts as his nose and inviting Kumar to join the make‑believe.",,,,,1
SS_2pretend,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Peter and Kumar are on the playground. Peter lies down on the floor, with his arms stuck to his body. He says: 'Look, I am a snake!'
Is what Peter says true?",False ,No—he’s a human just pretending to be a snake.,Why does Peter say this? ,,"Because he’s pretending—using figurative talk to invite Kumar into a make‑believe game where his posture (arms tucked in, on the ground) imitates a snake.",,,,,2
SS_3joke,You will be asked a question. Please respond to it as accurately as possible without using many words.,"James goes to Claire's house for the first time. He goes there for a drink and wants to see Claire's dog whom she always talks about. James likes dogs very much. When James gets to Claire's house, Claire runs to the door to open it, and her dog jumps up to greet James. Claire's dog is huge, and almost as tall as James! When James sees Claire's big dog he says, ""Claire, you don't have a dog at all. You have an elephant!
Is what James says true?",False ,"No. He’s exaggerating—using hyperbole to say the dog is very big, not an elephant.",Why does James say this?,,To humorously exaggerate the dog’s size—hyperbole to show surprise at how huge it is.,,,,,0
SS_3joke,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Giulia goes to Robin's house for the first time. She goes there for a visit and wants to see Robin's cat whom he always talks about. Giulia likes cats very much. When Giulia gets to Robin's house, Robin runs to the door to open it, and his cat jumps up to greet Giulia. Robin's cat is huge, and almost half as tall as Giulia! When Giulia sees Robin's big cat she says, ""Robin, you don't have a cat at all. You have an elephant!
Is what Giulia says true?",False ,"No. She’s exaggerating; it’s a very large cat, not an elephant.",Why does Giulia say this?,,Because she’s using hyperbole—jokingly calling the unusually large cat an “elephant” to emphasize its size and her surprise.,,,,,1
SS_3joke,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Robin just woke up and is putting on his clothes. He is almost done. When he grabs his pants he decides not to put them on. He goes down stairs and walks into the kitchen. 
He says to his mother: ""Look mom, I am Donald Duck!""
Is what Robin says true?",False ,"No. He’s just pretending—like Donald Duck, he’s wearing a shirt but no pants.",Why does Robin say this?,,"Because he skipped his pants and is joking that, like Donald Duck, he’s wearing a shirt but no pants.",,,,,2
SS_4whitelie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Tineke has been looking forward to Christmas all year, because she knew she could ask her parents for a rabbit. Tineke really wants to have a rabbit.
It was finally Christmas, and Tineke hurried to open the big package her parents had given her. She was sure it would contain a rabbit in a cage.
But when she opened the package, with the whole family gathered around her, she saw that there were only a few old books inside. That is not what she wished for.
However, when her parents asked her what she thought of her Christmas present, she said, ""I think it's a nice present, thank you. It's exactly what I wanted.""
Is what Tineke says true?",False ,No. She wanted a rabbit but got old books; she’s being polite (lying).,Why does Tineke say this?,,To be polite and spare her parents’ feelings—offering a “white lie” to show gratitude and not spoil the family moment.,,,,,0
